theta,eta,kappa
0.011184311034018873,0.011776105439927775,0.0010656209749792826
0.011185671667857063,0.011777597009067053,0.0010670943496365924
0.011187034147099983,0.011779090614098965,0.0010685697614468224
0.0111883984742018,0.011780586257766023,0.00107004721322663
0.011189764651619818,0.011782083942814346,0.0010715267077965672
0.011191132681814472,0.011783583671993645,0.001073008247981086
0.01119250256724933,0.01178508544805723,0.0010744918366085438
0.011193874310391112,0.011786589273762025,0.0010759774765112082
0.011195247913709681,0.011788095151868568,0.001077465170525263
0.011196623379678045,0.011789603085141008,0.0010789549214908142
0.01119800071077237,0.011791113076347118,0.001080446732251892
0.01119937990947198,0.011792625128258296,0.0010819406056564618
0.011200760978259353,0.011794139243649571,0.0010834365445564255
0.011202143919620133,0.011795655425299601,0.0010849345518076283
0.011203528736043144,0.011797173675990695,0.0010864346302698641
0.011204915430020364,0.011798693998508794,0.0010879367828068808
0.011206304004046954,0.011800216395643494,0.001089441012286386
0.011207694460621259,0.01180174087018804,0.001090947321580053
0.011209086802244798,0.011803267424939333,0.001092455713563523
0.011210481031422284,0.011804796062697942,0.0010939661911164157
0.011211877150661608,0.011806326786268091,0.0010954787571223316
0.011213275162473875,0.011807859598457687,0.0010969934144688584
0.011214675069373365,0.011809394502078305,0.0010985101660475757
0.011216076873877571,0.011810931499945198,0.0011000290147540619
0.01121748057850719,0.011812470594877309,0.0011015499634878982
0.011218886185786125,0.011814011789697262,0.0011030730151526764
0.011220293698241495,0.011815555087231384,0.0011045981726559998
0.01122170311840363,0.01181710049030969,0.0011061254389094946
0.011223114448806084,0.011818648001765903,0.001107654816828812
0.011224527691985628,0.01182019762443745,0.001109186309333635
0.011225942850482267,0.011821749361165472,0.0011107199193476824
0.011227359926839235,0.011823303214794825,0.0011122556497987163
0.011228778923602994,0.011824859188174082,0.0011137935036185465
0.011230199843323258,0.011826417284155549,0.0011153334837430365
0.011231622688552967,0.011827977505595251,0.0011168755931121107
0.011233047461848316,0.011829539855352959,0.0011184198346697537
0.011234474165768745,0.011831104336292168,0.0011199662113640255
0.011235902802876955,0.011832670951280133,0.0011215147261470601
0.011237333375738895,0.011834239703187845,0.0011230653819750734
0.011238765886923779,0.011835810594890049,0.001124618181808369
0.011240200339004084,0.011837383629265258,0.0011261731286113432
0.011241636734555548,0.011838958809195728,0.0011277302253524912
0.011243075076157202,0.0118405361375675,0.001129289475004414
0.011244515366391325,0.011842115617270369,0.0011308508805438183
0.011245957607843495,0.011843697251197922,0.0011324144449515311
0.01124740180310257,0.011845281042247515,0.001133980171212499
0.01124884795476069,0.011846866993320293,0.0011355480623157956
0.011250296065413282,0.011848455107321186,0.001137118121254628
0.011251746137659082,0.011850045387158926,0.001138690351026341
0.011253198174100108,0.011851637835746042,0.0011402647546324245
0.011254652177341699,0.011853232455998862,0.0011418413350785187
0.011256108149992474,0.011854829250837522,0.0011434200953744167
0.011257566094664382,0.01185642822318597,0.0011450010385340766
0.011259026013972677,0.01185802937597198,0.001146584167575622
0.01126048791053594,0.011859632712127142,0.0011481694855213498
0.011261951786976051,0.011861238234586869,0.0011497569953977356
0.01126341764591824,0.011862845946290413,0.0011513467002354399
0.011264885489991053,0.011864455850180857,0.001152938603069313
0.011266355321826366,0.011866067949205127,0.0011545327069384017
0.011267827144059403,0.011867682246313998,0.0011561290148859558
