Tcom,t,p,kappa
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010641496346621231
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010656209749792826
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010670943496365924
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010685697614468224
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.00107004721322663
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010715267077965672
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001073008247981086
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010744918366085438
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010759774765112082
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001077465170525263
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010789549214908142
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001080446732251892
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010819406056564618
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010834365445564255
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010849345518076283
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010864346302698641
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010879367828068808
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001089441012286386
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001090947321580053
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001092455713563523
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010939661911164157
