F,Tcmp,kappa
[0.3 0.3 0.3 0.3 0.3],0.63,0.001061213045816599
[0.3 0.3 0.3 0.3 0.3],0.63,0.001062680325876231
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010641496346621231
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010656209749792826
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010670943496365924
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010685697614468224
[0.3 0.3 0.3 0.3 0.3],0.63,0.00107004721322663
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010715267077965672
[0.3 0.3 0.3 0.3 0.3],0.63,0.001073008247981086
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010744918366085438
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010759774765112082
[0.3 0.3 0.3 0.3 0.3],0.63,0.001077465170525263
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010789549214908142
[0.3 0.3 0.3 0.3 0.3],0.63,0.001080446732251892
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010819406056564618
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010834365445564255
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010849345518076283
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010864346302698641
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010879367828068808
[0.3 0.3 0.3 0.3 0.3],0.63,0.001089441012286386
[0.3 0.3 0.3 0.3 0.3],0.63,0.001090947321580053
[0.3 0.3 0.3 0.3 0.3],0.63,0.001092455713563523
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010939661911164157
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010954787571223316
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010969934144688584
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010985101660475757
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011000290147540619
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011015499634878982
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011030730151526764
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011045981726559998
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011061254389094946
[0.3 0.3 0.3 0.3 0.3],0.63,0.001107654816828812
[0.3 0.3 0.3 0.3 0.3],0.63,0.001109186309333635
[0.3 0.3 0.3 0.3 0.3],0.63,0.0011107199193476824
